user_id,age,gender,country,city,device_type,subscription_type,content_id,content_genre,content_duration,content_rating,campaign_id,ad_type,ad_placement,advertiser_category,bid_amount,impressions,clicks,conversions,clicked,session_duration,pages_viewed,cpm,cpc,revenue,cost,timestamp,hour,day_of_week,month
278081,60.0,M,US,Chicago,desktop,basic,8883,drama,27.6,PG-13,5893,interstitial,pre_roll,cpg,3.73,1,0,0,0,20.7,2,9.5,1.37,0.0,0.01,2024-04-18 04:00:00,4,3,4
990984,44.0,M,IN,Hyderabad,desktop,premium,6863,comedy,51.2,G,5467,video,sidebar,tech,2.52,1,0,0,0,25.3,6,12.4,1.24,0.0,0.01,2025-04-22 22:00:00,22,1,4
137269,27.0,F,BR,Sao Paulo,desktop,family,2281,news,37.7,PG-13,5896,native,mid_roll,retail,5.8,7,2,1,1,34.8,2,9.19,1.02,14.45,0.37,2025-02-17 11:00:00,11,0,2
366667,50.0,F,US,New York,mobile,basic,3348,news,27.9,PG,5877,video,in_feed,tech,2.35,5,0,0,0,1.6,3,16.96,1.44,0.03,0.08,2024-10-23 23:00:00,23,2,10
609676,74.0,M,MX,Mexico City,desktop,premium,2808,drama,23.2,PG,5174,native,sidebar,travel,3.49,3,0,0,0,20.6,2,7.69,0.97,0.01,0.02,2024-10-20 19:00:00,19,6,10
920347,58.0,F,BR,Sao Paulo,desktop,family,5244,drama,50.4,PG,5312,native,in_feed,retail,7.49,7,0,0,0,32.8,2,14.23,1.31,0.04,0.1,2025-06-07 15:00:00,15,5,6
760937,28.0,F,JP,Tokyo,mobile,family,6914,comedy,35.6,PG,5746,native,post_roll,auto,3.0,1,0,0,0,20.5,4,14.53,0.91,0.01,0.01,2024-04-16 09:00:00,9,1,4
908888,31.0,M,US,Austin,desktop,basic,1340,kids,22.3,R,5186,native,sidebar,tech,5.6,9,0,0,0,4.3,3,12.76,0.81,0.05,0.11,2025-03-12 13:00:00,13,2,3
498089,72.0,M,JP,Osaka,mobile,basic,9914,gaming,73.6,G,5116,video,mid_roll,gaming,4.88,2,0,0,0,49.1,4,15.17,1.36,0.01,0.03,2024-06-17 19:00:00,19,0,6
869547,21.0,F,US,Seattle,tablet,free,3009,drama,57.0,PG,5295,video,pre_roll,auto,3.13,3,1,0,1,45.6,6,6.03,1.16,0.7,0.19,2024-04-20 20:00:00,20,5,4
385493,25.0,M,US,Austin,desktop,free,6934,news,11.0,PG,5300,banner,in_feed,auto,2.79,6,0,0,0,2.6,3,9.41,0.34,0.02,0.06,2024-12-10 07:00:00,7,1,12
242704,23.0,M,US,Chicago,tablet,basic,1097,comedy,37.9,PG,5961,video,mid_roll,auto,12.56,7,0,0,0,29.9,6,12.8,1.18,0.04,0.09,2025-08-09 20:00:00,20,5,8
905553,51.0,F,UK,London,console,free,9565,music,50.5,PG-13,5007,video,mid_roll,tech,8.42,2,0,0,0,25.8,3,15.01,1.78,0.01,0.03,2025-04-02 07:00:00,7,2,4
693774,36.0,M,AU,Sydney,smart_tv,free,1588,documentary,26.9,PG-13,5764,banner,post_roll,healthcare,2.62,4,0,0,0,4.7,2,3.4,0.79,0.01,0.01,2025-04-16 00:00:00,0,2,4
159798,61.0,F,IN,Mumbai,desktop,free,4617,kids,40.1,PG-13,5875,native,in_feed,auto,9.14,3,0,0,0,34.1,1,10.98,0.89,0.01,0.03,2025-03-23 10:00:00,10,6,3
